timestamp,x,y,z
0,310,297,280
1,310,302,282
2,312,303,292
3,310,297,296
4,310,279,294
5,310,262,280
6,312,259,273
7,310,266,264
8,309,276,271
9,310,295,284
10,310,303,299
11,310,300,304
12,310,286,297
13,310,277,283
14,309,270,272
15,310,274,267
16,309,278,273
17,310,286,287
18,310,292,299
19,310,290,299
20,310,284,289
21,310,280,279
22,309,279,273
23,310,282,275
24,309,284,286
25,310,284,295
26,310,282,291
27,310,281,284
28,310,276,271
29,309,274,268
30,310,278,276
31,310,288,290
32,310,296,300
33,310,294,300
34,310,286,289
35,310,268,270
36,310,264,260
37,309,266,261
38,310,279,280
39,310,290,298
40,310,304,308
41,310,304,300
42,310,295,287
43,310,273,266
44,309,260,260
45,309,257,264
46,310,271,282
47,310,287,294
48,310,308,304
49,310,313,300
50,310,304,290
51,309,281,276
52,309,268,268
53,309,256,266
54,309,264,272
55,310,280,279
56,309,302,290
57,310,314,295
58,310,313,292
59,310,294,284
60,310,273,277
61,309,254,270
62,310,254,272
63,309,274,276
64,310,300,284
65,310,310,289
66,310,310,293
67,310,298,288
68,310,279,282
69,310,263,272
70,309,262,268
71,309,276,271
72,309,292,282
73,310,302,288
74,310,300,294
75,310,294,292
76,310,282,284
77,310,274,272
78,309,272,268
79,309,280,271
80,310,288,281
81,310,295,292
82,310,293,292
83,310,286,286
84,310,278,274
85,310,277,270
86,309,279,274
87,310,286,290
88,310,292,300
89,310,294,298
90,310,288,284
91,310,277,272
92,309,268,260
93,309,271,268
94,309,292,281
95,310,308,300
96,310,308,304
97,310,292,295
98,310,278,276
99,309,268,262
100,309,272,261
101,309,278,268
102,310,295,289
103,310,308,298
104,310,312,298
105,310,306,286
106,309,296,273
107,309,279,263
108,309,272,262
109,310,274,266
110,309,284,278
111,310,292,290
112,310,309,294
113,310,313,292
114,310,306,290
115,309,282,281
116,310,264,276
117,309,252,274
118,310,263,278
119,310,278,284
120,310,304,298
121,310,311,303
122,310,300,301
123,310,272,292
124,310,257,284
125,310,254,278
126,310,270,278
127,310,284,284
128,310,295,290
129,310,294,295
130,310,288,296
131,310,284,292
132,310,280,287
133,310,281,279
134,310,281,276
135,310,279,274
136,309,279,280
137,310,282,285
138,310,292,292
139,310,300,292
140,310,301,286
141,310,290,276
142,310,280,271
143,309,274,272
144,310,280,282
145,310,292,290
146,310,304,296
147,310,304,294
148,309,294,286
149,310,279,276
150,310,273,276
151,310,284,284
152,310,297,294
153,310,302,298
154,310,290,296
155,310,276,288
156,309,264,279
157,310,270,280
158,310,281,286
159,310,294,300
160,310,300,305
161,310,300,301
162,310,286,288
163,310,271,280
164,310,258,277
165,310,257,282
166,310,274,290
167,310,292,298
168,310,298,300
169,310,297,295
170,310,290,286
171,309,279,280
172,310,271,276
173,310,269,274
174,309,274,278
175,310,280,286
176,310,285,293
177,310,290,298
178,310,292,295
179,310,290,286
180,310,282,276
181,309,274,270
182,310,272,274
183,310,278,284
184,310,293,294
185,310,301,301
186,310,296,298
187,310,284,288
188,310,276,276
189,310,272,272
190,310,278,278
191,310,285,288
192,310,295,298
193,310,300,300
194,310,294,295
195,310,280,284
196,309,276,278
197,310,276,274
198,310,282,279
199,310,284,284
200,310,286,294
201,310,285,297
202,310,286,296
203,310,286,288
204,310,282,280
205,309,276,276
206,310,274,274
207,310,274,278
208,310,279,288
209,310,284,294
210,310,286,296
211,310,284,290
212,310,278,282
213,309,270,271
214,309,268,272
215,310,274,278
216,310,281,290
217,310,284,295
218,310,286,294
219,310,284,286
220,310,278,279
221,309,276,274
222,310,276,274
223,310,278,282
224,310,282,290
225,310,284,292
226,310,284,290
227,310,285,284
228,309,288,281
229,310,286,282
230,310,284,284
231,310,280,284
232,310,279,284
233,310,284,284
234,310,286,284
235,310,286,284
236,310,288,286
237,310,289,286
238,310,288,286
239,310,284,284
240,310,280,280
241,310,278,280
242,309,282,282
243,310,284,282
244,310,284,284
245,310,286,284
246,309,288,284
247,310,286,282
248,309,284,284
249,310,278,281
250,310,276,281
251,310,277,282
252,310,279,281
253,309,280,281
254,310,285,284
255,310,288,284
256,310,286,284
257,310,279,284
258,309,274,282
259,310,272,282
260,310,278,284
261,310,284,284
262,310,285,284
263,310,286,284
264,310,286,282
265,309,285,284
266,310,282,284
267,310,280,284
268,310,279,282
269,308,286,278
270,308,290,274
271,308,290,272
272,308,292,276
273,308,292,281
274,308,292,286
275,308,284,288
276,308,280,284
277,308,279,276
278,308,286,270
279,308,290,270
280,308,292,280
281,308,290,288
282,308,292,292
283,308,290,286
284,308,286,279
285,308,282,271
286,308,280,272
287,309,282,278
288,310,286,288
289,310,284,292
290,310,284,292
291,310,288,282
292,310,292,276
293,310,292,275
294,310,289,278
295,310,280,284
296,310,276,286
297,310,272,284
298,309,277,276
299,310,284,277
300,310,294,280
301,309,294,289
302,310,286,293
303,310,278,288
304,310,276,276
305,309,278,268
306,309,285,266
307,310,288,270
308,310,292,288
309,309,292,298
310,310,290,296
311,309,286,284
312,310,284,271
313,309,282,264
314,309,284,270
315,310,286,279
316,309,292,290
317,310,297,294
318,310,298,290
319,310,290,280
320,310,279,276
321,309,271,272
322,310,272,277
323,310,280,282
324,310,292,288
325,310,295,288
