time,x,y,z
399,276,280,161
400,279,280,161
401,280,280,162
402,278,279,162
403,278,280,162
404,279,280,160
405,279,280,156
406,278,281,160
407,278,281,160
408,277,281,158
409,280,282,157
410,280,282,158
411,278,280,158
412,279,282,156
413,279,282,155
414,279,282,153
415,278,281,155
416,278,282,155
417,276,282,153
418,280,282,152
419,279,282,154
420,278,280,154
421,276,282,154
422,278,281,153
423,278,281,152
424,276,281,155
425,276,281,156
426,275,281,154
427,278,280,154
428,278,280,157
429,276,279,158
430,276,280,157
431,279,280,157
432,278,281,156
433,277,280,159
434,277,280,160
435,276,279,158
436,279,280,158
437,280,280,160
438,277,279,161
439,277,280,160
440,279,280,160
441,279,280,158
442,278,280,162
443,278,280,162
444,278,280,160
445,280,280,158
446,279,281,160
447,278,280,161
448,278,282,158
449,279,282,158
450,280,282,157
451,278,280,158
452,278,282,159
453,277,282,156
454,279,282,155
455,279,282,156
456,277,281,156
457,277,282,155
458,278,282,154
459,279,281,153
460,277,282,155
461,275,282,156
462,276,281,154
463,278,281,154
464,278,281,156
465,277,280,156
466,276,281,155
467,278,281,155
468,279,280,155
469,277,280,157
470,277,280,158
471,277,280,156
472,279,280,156
473,279,280,158
474,278,281,158
475,279,280,158
476,279,280,157
477,279,280,158
478,278,280,159
479,277,280,160
480,278,280,158
481,279,280,157
482,279,280,159
483,278,280,159
484,277,280,158
485,280,281,157
486,279,280,158
487,277,280,159
488,277,282,159
489,278,281,157
490,279,281,156
491,279,282,157
492,278,282,158
493,276,282,156
494,278,282,155
495,279,282,155
496,277,281,157
497,277,281,157
498,277,282,155
499,279,281,154
500,279,282,157
501,278,281,157
502,276,281,156
503,278,281,156
504,279,281,157
505,277,280,158
506,277,281,159
507,278,281,157
508,278,280,156
509,278,281,159
510,277,280,159
511,276,280,158
512,279,279,157
513,279,279,158
514,277,279,159
515,277,280,156
516,278,280,157
517,278,280,155
518,278,280,158
519,277,279,159
520,276,281,157
521,279,281,156
522,279,280,156
523,277,280,157
524,277,281,156
525,278,281,155
526,279,281,154
527,279,281,157
528,278,281,158
529,277,281,156
530,278,281,155
531,279,281,156
532,277,278,157
533,278,281,157
534,278,281,156
535,279,282,154
536,278,281,157
537,278,281,158
538,276,281,157
539,279,282,156
540,279,281,158
541,278,281,160
542,277,281,160
543,279,281,159
544,280,281,158
545,278,281,160
546,277,281,161
547,277,280,159
548,279,280,158
549,279,280,159
550,276,280,159
551,277,281,158
552,278,280,157
553,279,281,155
554,278,280,157
555,277,281,158
556,276,281,156
557,278,280,155
558,279,280,156
559,279,279,156
560,278,281,155
561,279,280,154
562,279,281,153
563,278,281,156
564,278,282,156
565,277,281,155
566,279,281,154
567,278,281,155
568,277,280,156
569,277,281,155
570,279,282,155
571,279,280,155
572,278,281,157
573,277,281,158
574,277,281,157
575,278,280,157
576,279,281,159
577,278,280,160
578,278,281,159
579,279,281,159
580,280,280,158
581,278,280,161
582,278,280,162
583,278,280,159
584,279,281,158
585,279,278,160
586,278,280,160
587,278,281,158
588,279,281,157
589,279,281,157
590,277,281,158
591,276,281,159
592,277,281,157
593,278,280,156
594,279,281,158
595,278,280,158
596,277,281,156
597,279,281,156
598,279,281,154
599,277,281,157
600,276,281,158
601,277,281,155
602,278,281,155
603,279,281,156
604,277,281,156
605,277,281,155
606,278,282,154
607,278,281,155
608,277,280,156
609,276,281,157
610,278,281,155
611,279,281,154
612,279,281,156
613,278,280,157
614,277,281,157
615,279,281,156
616,278,280,157
617,278,280,156
618,278,281,159
619,278,280,157
620,279,280,157
621,279,280,159
622,278,280,159
623,276,280,158
624,278,280,158
625,279,280,159
626,277,279,160
627,277,280,160
628,278,280,158
629,279,280,157
630,278,281,160
631,277,280,160
632,277,281,158
633,279,281,158
634,280,281,158
635,279,280,159
636,278,281,159
637,278,281,156
638,278,281,155
639,278,281,157
640,277,281,157
641,276,281,155
642,278,282,155
643,279,282,155
644,278,280,157
645,277,282,156
646,278,282,155
647,278,281,153
648,278,281,156
649,277,282,157
650,276,279,156
651,279,281,156
652,278,281,157
653,278,279,158
654,277,281,158
655,278,280,157
656,278,280,156
657,278,282,158
658,277,282,159
659,276,280,158
660,279,280,157
661,279,280,158
662,278,279,158
663,277,281,158
664,279,280,157
665,279,280,155
666,278,280,158
667,278,281,158
668,276,280,157
669,278,281,156
670,279,281,157
671,278,279,158
672,277,280,157
673,279,280,156
674,279,280,154
675,278,281,157
676,277,281,157
677,276,281,155
678,278,280,155
679,278,281,157
680,276,280,158
681,276,281,157
682,278,281,156
683,279,281,155
684,278,281,158
685,277,282,160
686,276,281,158
687,278,281,158
688,279,281,159
689,277,280,159
690,277,281,159
691,278,281,158
692,279,281,157
693,278,281,159
694,274,281,160
695,277,281,158
696,279,281,157
697,279,281,160
698,278,279,158
699,278,281,157
700,279,282,156
701,279,281,155
702,278,282,157
703,278,282,158
704,278,281,155
705,279,281,154
706,280,281,156
707,278,280,156
708,277,281,155
709,279,281,155
710,279,281,156
711,277,281,156
712,277,283,157
713,277,280,155
714,278,280,154
715,277,281,156
716,277,280,157
717,277,281,156
718,278,281,156
719,278,280,156
720,278,280,158
721,276,280,159
722,278,280,157
723,279,281,157
724,279,280,159
725,278,280,159
726,277,280,159
727,279,281,158
728,279,280,159
729,278,280,160
730,278,280,160
731,278,280,158
732,279,280,158
733,279,281,159
734,278,280,159
735,277,281,158
736,279,284,157
737,279,281,157
738,278,281,158
739,278,281,159
740,278,281,156
741,279,282,155
742,279,282,157
743,277,281,158
744,276,281,155
745,279,282,155
746,279,281,155
747,277,281,156
748,277,282,156
749,279,281,154
750,279,281,154
751,279,280,156
752,278,281,156
753,276,281,155
754,279,281,154
755,278,281,155
756,277,280,156
757,277,281,158
758,278,281,155
759,279,280,153
760,278,281,158
761,277,280,158
762,276,280,157
763,279,280,157
764,279,280,158
765,278,279,159
766,277,281,159
767,278,280,158
768,278,280,157
769,278,280,159
770,277,280,160
771,276,280,159
772,279,280,158
773,279,280,160
774,277,279,159
775,277,281,159
776,278,281,158
777,278,281,155
778,278,281,158
779,277,281,158
780,276,281,156
781,278,282,155
782,279,282,156
783,277,280,156
784,276,282,156
785,278,281,155
786,278,282,153
787,278,281,156
788,278,282,156
789,276,281,155
790,279,283,155
791,279,282,156
792,278,280,157
793,276,281,156
794,279,280,157
795,279,281,155
796,278,280,157
797,278,280,158
798,277,281,158
799,279,280,157
800,279,281,159
801,278,280,160
802,278,281,159
803,279,281,158
804,278,280,156
805,278,281,159
806,277,281,160
807,276,280,158
808,279,281,157
809,279,281,158
810,278,280,158
811,277,280,157
812,279,281,156
813,279,281,155
814,278,281,158
815,277,279,158
816,276,281,156
817,279,281,155
818,279,281,157
819,277,280,158
820,277,281,157
821,279,281,156
822,278,280,155
823,278,281,158
824,276,281,158
825,277,281,157
826,279,280,156
827,279,281,158
828,277,280,158
829,277,281,157
830,278,281,155
831,279,280,157
832,277,281,158
833,277,281,158
834,277,281,157
835,279,281,155
836,280,281,158
837,278,281,158
838,277,281,158
839,282,281,156
840,280,281,156
841,277,281,158
842,278,281,159
843,277,281,157
844,279,281,157
845,279,281,158
846,278,280,159
847,277,281,157
848,279,281,157
849,279,280,156
850,278,281,158
851,277,281,159
852,277,281,156
853,279,280,156
854,279,280,157
855,278,280,158
856,277,281,156
857,279,281,155
858,279,280,155
859,278,281,156
860,277,282,158
861,278,281,155
862,279,281,155
863,279,281,157
864,277,281,157
865,277,281,156
866,278,282,155
867,279,281,156
868,278,281,158
869,277,281,159
870,278,281,157
871,279,280,156
872,278,280,158
873,277,280,158
874,276,280,157
875,278,281,157
876,279,281,158
877,278,280,159
878,277,281,160
879,279,281,158
