time,x,y,z
399,276,281,157
400,279,281,156
401,279,281,157
402,277,280,158
403,277,281,158
404,278,281,157
405,279,281,155
406,279,281,158
407,278,281,158
408,276,281,157
409,279,281,156
410,279,281,157
411,278,280,158
412,278,281,158
413,278,281,156
414,279,281,155
415,279,281,158
416,278,281,158
417,276,281,156
418,279,281,156
419,280,281,157
420,278,280,158
421,277,281,158
422,278,281,156
423,279,280,155
424,278,281,158
425,277,281,157
426,276,281,157
427,278,281,156
428,279,281,157
429,277,279,158
430,278,281,158
431,279,281,156
432,279,281,155
433,278,281,157
434,278,281,158
435,276,281,158
436,278,281,156
437,279,281,157
438,278,279,158
439,277,281,158
440,279,281,157
441,279,281,155
442,278,281,158
443,277,281,159
444,276,281,157
445,279,281,156
446,279,281,157
447,278,280,158
448,277,281,157
449,279,281,157
450,279,281,155
451,278,281,158
452,278,281,158
453,276,281,156
454,279,281,156
455,279,281,158
456,278,281,159
457,277,281,157
458,279,281,156
459,279,281,155
460,278,281,158
461,277,281,159
462,277,280,157
463,279,281,157
464,279,280,158
465,278,280,158
466,277,281,157
467,279,281,157
468,279,281,155
469,278,281,158
470,277,281,159
471,277,281,157
472,279,281,155
473,280,281,158
474,278,281,158
475,277,281,158
476,279,281,157
477,279,281,156
478,278,281,158
479,278,281,159
480,277,281,157
481,276,281,156
482,279,281,158
483,278,280,158
484,277,281,157
485,280,282,156
486,279,281,156
487,278,281,158
488,277,281,158
489,277,280,157
490,278,281,156
491,280,281,158
492,277,280,158
493,277,282,155
494,279,282,157
495,279,281,156
496,278,281,158
497,278,281,159
498,278,281,157
499,279,281,156
500,280,281,158
501,278,280,159
502,277,281,158
503,279,282,157
504,279,281,157
505,278,281,158
506,277,281,159
507,278,281,157
508,279,281,156
509,279,281,158
510,277,280,158
511,277,281,157
512,279,282,157
513,279,281,157
514,277,281,158
515,278,281,159
516,278,281,157
517,279,281,156
518,279,281,158
519,277,280,159
520,277,281,157
521,279,281,156
522,279,280,157
523,278,281,158
524,277,281,159
525,278,281,157
526,279,281,156
527,279,281,158
528,277,281,159
529,277,281,157
530,279,281,157
531,278,280,157
532,278,280,159
533,277,281,159
534,278,280,157
535,279,281,156
536,279,281,158
537,278,281,158
538,277,281,157
539,279,281,157
540,279,281,157
541,278,280,159
542,276,281,159
543,278,281,157
544,279,281,156
545,279,282,158
546,279,281,158
547,276,278,155
548,279,281,157
549,279,281,157
550,278,280,158
551,277,281,158
552,278,281,157
553,279,281,155
554,279,281,158
555,278,281,159
556,276,281,157
557,279,282,157
558,279,281,157
559,277,280,158
560,277,282,159
561,277,281,157
562,279,280,155
563,278,281,158
564,278,281,158
565,276,281,157
566,279,282,156
567,279,281,157
568,278,280,158
569,277,281,158
570,278,281,157
571,280,281,155
572,279,281,158
573,278,281,158
574,277,281,157
575,279,281,156
576,280,281,158
577,277,280,158
578,277,282,158
579,279,281,157
580,279,280,155
581,278,281,158
582,277,281,158
583,276,281,157
584,279,281,157
585,279,281,158
586,278,280,158
587,277,281,158
588,278,281,157
589,279,281,155
590,278,281,158
591,278,282,158
592,276,281,157
593,280,281,156
594,279,281,157
595,277,280,158
596,278,281,158
597,278,281,157
598,279,280,155
599,278,280,158
600,277,281,158
601,276,281,157
602,279,281,156
603,279,281,157
604,278,280,158
605,277,281,158
606,279,281,156
607,279,281,155
608,278,281,158
609,278,281,159
610,276,281,157
611,279,281,156
612,280,281,157
613,278,280,158
614,278,281,157
615,279,281,156
616,279,280,155
617,278,281,158
618,276,281,158
619,277,281,156
620,279,281,156
621,279,281,157
622,277,280,158
623,278,281,157
624,278,281,156
625,279,281,155
626,278,281,158
627,278,281,158
628,276,281,156
629,279,281,156
630,280,281,157
631,278,280,157
632,278,281,157
633,279,281,156
634,279,281,155
635,278,281,158
636,278,281,158
637,277,280,157
638,279,281,156
639,279,281,158
640,278,280,158
641,277,281,157
642,278,281,156
643,279,281,155
644,278,281,158
645,277,281,158
646,278,281,155
