timestamp,x,y,z
0,313,292,293
1,310,288,289
2,311,274,276
3,309,269,271
4,310,270,272
5,309,280,282
6,310,290,290
7,314,298,294
8,314,296,292
9,310,286,284
10,310,276,276
11,309,268,272
12,309,270,274
13,310,280,284
14,309,292,288
15,310,296,292
16,310,294,288
17,310,285,280
18,310,278,276
19,309,273,276
20,309,272,282
21,310,276,290
22,310,287,290
23,309,292,286
24,310,292,284
25,310,286,278
26,310,282,278
27,313,280,280
28,310,279,284
29,310,278,288
30,310,282,290
31,309,287,286
32,309,289,282
33,310,286,280
34,311,284,282
35,310,284,286
36,310,284,288
37,310,284,284
38,310,282,280
39,310,282,278
40,310,285,278
41,310,288,280
42,310,287,282
43,310,286,286
44,310,285,284
45,311,285,282
46,309,284,278
47,309,284,276
48,310,284,276
49,311,286,278
50,310,288,278
51,310,288,284
52,310,288,286
53,309,288,284
54,310,287,284
55,310,285,280
56,309,282,276
57,309,281,278
58,309,286,278
59,310,288,284
60,311,288,284
61,310,288,288
62,310,287,286
63,310,284,284
64,309,281,278
65,310,279,278
66,310,280,280
67,310,288,284
68,310,292,284
69,310,292,288
70,310,290,286
71,310,284,284
72,309,282,280
73,310,280,280
74,310,282,280
75,310,284,284
76,310,290,284
77,310,292,284
78,310,288,284
79,309,286,282
80,310,285,280
81,310,284,280
82,310,284,280
83,310,284,280
84,310,286,280
85,310,293,280
86,310,295,280
87,309,293,282
88,309,292,284
89,309,288,282
90,310,285,280
91,309,282,279
92,311,282,279
93,309,284,280
94,310,286,284
95,310,286,288
96,310,284,292
97,310,284,294
98,310,287,290
99,310,288,288
100,310,284,284
101,310,278,282
102,310,274,284
103,311,284,288
104,309,292,288
105,310,296,288
106,310,294,288
107,310,286,288
108,309,277,284
109,310,274,284
110,310,280,284
111,310,286,288
112,310,296,292
113,310,295,288
114,310,290,286
115,309,281,280
116,310,279,276
117,310,282,276
118,309,288,284
119,309,294,286
120,310,294,289
121,310,290,288
122,309,282,285
123,309,276,281
124,309,278,284
125,310,288,284
126,310,293,288
127,310,292,288
128,310,284,288
129,309,282,284
130,310,280,284
131,309,281,285
132,310,282,286
133,310,286,293
134,310,290,293
135,310,292,292
136,310,285,285
137,309,280,284
138,310,274,284
139,309,276,288
140,310,280,293
141,310,289,296
142,310,293,297
143,310,294,293
144,310,286,285
145,310,276,281
146,309,268,278
147,309,271,285
148,310,284,292
149,310,296,294
150,310,298,292
151,310,292,288
152,310,284,280
153,310,274,279
154,310,272,282
155,310,277,286
156,310,288,290
157,310,292,290
158,310,290,288
159,309,284,284
160,310,282,282
161,310,284,282
162,309,285,284
163,309,284,286
164,310,282,288
165,309,284,286
166,310,284,285
167,310,286,286
168,309,286,285
169,310,286,287
170,309,288,288
171,310,288,286
172,310,282,285
173,310,280,284
174,309,281,281
175,310,284,284
176,311,284,286
177,310,287,292
178,309,286,292
179,310,286,292
180,309,282,285
181,310,278,284
182,309,276,284
183,310,278,284
184,310,284,288
185,310,287,292
186,310,286,292
187,310,284,288
188,310,280,284
189,310,276,281
190,310,273,284
191,309,274,286
192,310,282,288
193,310,288,292
194,310,288,292
195,310,284,285
196,310,279,284
197,310,276,281
198,310,274,280
199,310,273,278
200,309,280,284
201,309,290,293
202,310,295,296
203,310,290,288
204,310,281,280
205,309,270,276
206,310,274,280
207,310,280,284
208,310,288,289
209,310,292,292
210,310,293,292
211,310,288,285
212,309,281,280
213,309,278,280
214,310,279,284
215,310,284,284
216,309,286,285
217,309,285,285
218,310,284,286
219,310,286,284
220,309,287,284
221,310,284,284
222,310,284,284
223,310,280,286
224,310,281,288
225,310,281,286
226,310,280,280
227,309,280,280
228,309,285,280
229,310,287,284
230,310,286,285
231,310,285,288
232,310,284,286
233,310,282,285
234,310,278,280
235,309,276,277
236,311,278,284
237,310,285,285
238,310,290,288
239,309,288,286
240,310,287,284
241,310,284,277
242,310,282,277
243,310,280,280
244,310,280,286
245,310,281,292
246,310,285,292
247,310,287,284
248,309,286,279
249,309,286,273
250,310,286,276
251,310,286,281
252,310,285,284
253,310,282,285
254,309,282,284
255,309,287,280
256,310,290,277
257,310,292,278
258,310,292,280
259,310,288,281
260,310,284,281
261,310,282,281
262,309,282,280
263,310,284,281
264,309,292,284
265,310,294,285
266,310,292,285
267,309,287,284
268,309,284,280
269,310,279,280
270,310,278,281
271,310,279,284
272,310,284,288
273,310,292,292
274,310,294,288
275,309,290,284
276,310,286,280
277,310,279,276
278,309,276,276
279,310,276,280
280,310,282,284
281,310,287,289
282,310,298,292
283,310,296,288
284,310,287,284
285,310,274,276
286,309,271,271
287,310,276,276
288,309,285,288
289,309,292,292
290,310,296,296
291,310,296,288
