timestamp,x,y,z
0,313,282,284
1,313,282,284
2,310,284,284
3,309,284,282
4,309,286,283
5,314,288,282
6,308,286,284
7,309,284,284
8,309,285,284
9,309,284,284
10,309,284,284
11,309,280,284
12,310,284,284
13,310,287,284
14,310,286,284
15,309,284,284
16,308,284,284
17,309,284,284
18,309,285,284
19,309,284,284
20,309,284,284
21,309,284,284
22,309,286,284
23,309,286,284
24,310,282,284
25,314,282,284
26,308,284,284
27,308,284,284
28,308,284,284
29,308,285,284
30,308,284,284
31,309,284,284
32,310,284,284
33,308,284,284
34,308,284,284
35,308,286,282
36,308,286,284
37,308,284,284
38,308,284,284
39,308,284,284
40,308,285,284
41,308,284,284
42,308,282,282
43,308,284,284
44,309,286,284
45,308,286,284
46,308,284,284
47,308,282,282
48,308,284,282
49,308,286,284
50,308,286,284
51,310,284,286
52,308,284,285
53,308,284,284
54,308,284,282
55,308,284,282
56,308,284,284
57,308,286,284
58,308,286,284
59,308,285,284
60,308,284,282
61,308,282,284
62,308,285,284
63,308,286,284
64,309,284,284
65,309,284,284
66,308,284,284
67,308,285,284
68,308,285,284
69,308,284,282
70,308,282,284
71,309,284,284
72,308,285,284
73,308,284,284
74,308,284,284
75,308,285,284
76,308,284,284
77,308,282,284
78,308,282,284
79,308,282,284
80,308,286,284
81,308,286,284
82,308,284,284
83,308,284,284
84,309,284,284
85,308,284,284
86,308,284,284
87,308,284,284
88,308,284,284
89,308,286,285
90,308,285,284
91,309,282,284
92,308,282,284
93,308,285,284
94,308,286,284
95,308,285,286
96,308,284,285
97,308,282,284
98,308,284,282
99,308,284,282
100,308,282,284
101,308,284,285
102,308,286,285
103,308,287,284
104,309,286,284
105,308,282,284
106,308,280,284
107,308,284,284
108,308,286,284
109,308,285,284
110,308,284,284
111,310,284,284
112,308,284,284
113,308,284,284
114,308,284,284
115,308,284,285
116,308,285,285
117,308,286,284
118,308,284,282
119,308,284,284
120,308,284,284
121,308,284,284
122,308,284,284
123,308,284,284
124,309,285,285
125,308,287,284
126,308,286,284
127,308,284,282
128,308,282,284
129,308,284,284
130,308,284,285
131,310,284,284
132,308,284,284
133,308,285,284
134,308,286,284
135,308,286,284
136,308,284,282
137,308,282,284
138,308,284,285
139,308,284,284
140,308,284,284
141,308,284,284
142,308,284,284
143,308,285,284
144,309,284,284
145,308,282,284
146,308,282,285
147,308,285,284
148,308,286,284
149,308,285,284
150,308,284,284
151,309,284,285
152,308,284,285
153,308,284,284
154,308,284,282
155,308,284,284
156,308,286,284
157,308,286,284
158,308,285,284
159,308,284,285
160,308,284,285
161,308,282,284
162,308,282,284
163,308,282,281
164,309,284,282
165,308,288,284
166,310,288,285
167,310,286,285
168,311,284,285
169,310,282,284
170,310,282,284
171,308,281,282
172,310,285,282
173,310,286,284
174,310,290,284
175,310,288,284
176,310,284,285
177,310,280,284
178,310,280,284
179,310,284,282
180,310,285,284
181,310,286,284
182,310,286,284
183,310,288,284
184,309,286,284
185,310,281,284
186,308,280,284
187,308,284,282
188,308,285,284
189,308,286,284
190,308,286,284
191,310,286,285
192,308,286,285
193,308,284,284
194,308,282,284
195,308,281,284
196,308,284,284
197,308,285,284
198,308,286,284
199,308,286,284
200,308,284,284
201,308,284,284
202,308,284,284
203,308,284,282
204,309,284,284
205,310,285,284
206,308,285,284
207,308,284,284
208,308,284,284
209,308,284,284
210,308,286,284
211,309,284,284
212,308,284,284
213,308,284,284
214,308,284,284
215,308,285,284
216,308,284,282
217,308,284,282
218,308,284,284
219,308,286,284
220,308,286,284
221,308,284,283
222,308,284,284
223,308,284,284
224,309,284,284
225,308,284,284
226,308,284,285
227,308,285,285
228,308,287,284
229,308,287,284
230,308,284,281
231,310,282,282
232,308,284,284
233,308,284,284
234,308,284,284
235,308,286,284
236,308,286,285
237,308,286,284
238,308,285,284
239,308,282,281
240,308,280,282
241,308,284,284
242,308,286,284
243,308,286,284
244,309,287,284
245,308,286,284
246,311,284,284
247,308,284,282
248,308,282,282
249,311,284,284
250,311,286,285
251,309,286,286
252,311,285,284
253,308,285,284
254,308,284,282
255,311,284,284
256,311,284,284
257,311,284,284
258,311,284,284
259,311,287,284
260,311,286,284
261,311,284,284
262,308,284,282
263,311,284,282
264,309,284,284
265,308,284,284
266,311,284,284
267,311,284,284
268,311,288,284
269,311,288,284
270,311,284,284
271,309,280,284
272,311,284,284
273,311,284,282
274,311,284,284
275,308,284,284
276,308,284,284
277,311,288,284
278,311,286,284
279,311,284,284
280,308,280,284
281,311,282,282
282,311,284,282
283,311,285,284
284,309,285,284
285,308,284,285
286,308,286,284
287,311,286,282
288,308,284,282
289,311,282,284
290,308,282,284
291,309,285,284
292,311,286,282
293,308,286,284
294,308,284,284
295,311,285,284
296,311,285,284
297,311,284,284
298,308,282,284
299,311,284,284
300,311,284,284
301,311,286,284
302,311,286,284
303,311,286,284
304,310,286,284
305,308,285,284
306,311,282,282
307,311,282,284
308,311,284,284
309,311,286,284
310,311,285,284
311,310,285,284
312,308,284,284
313,311,285,282
314,311,284,284
315,311,282,282
316,311,284,284
317,308,286,284
318,311,286,284
319,311,285,284
320,311,284,284
321,311,284,282
322,311,285,282
323,311,284,284
324,309,282,284
325,308,284,284
326,309,287,284
327,309,287,284
328,309,285,284
329,309,284,284
330,310,285,284
331,309,286,284
332,309,286,284
333,309,284,282
334,309,284,284
335,309,286,284
336,309,288,284
337,309,287,284
338,309,286,284
339,309,284,284
340,309,285,284
341,309,285,284
342,310,285,284
343,309,285,284
344,309,286,284
345,308,286,284
346,311,284,282
347,311,284,284
348,311,284,284
349,311,285,284
350,311,286,284
351,309,284,284
352,311,284,284
353,311,285,284
354,311,284,284
355,311,284,284
356,311,284,284
357,311,284,284
358,311,286,284
359,311,286,284
360,311,285,284
361,311,284,284
362,311,284,286
363,311,282,284
364,309,281,284
365,308,284,282
366,311,285,282
367,311,287,284
368,311,286,286
369,311,284,286
370,311,282,284
371,309,284,282
372,311,284,282
373,311,282,284
374,311,282,284
375,311,286,285
376,311,288,286
377,311,285,286
378,311,284,284
379,311,282,284
380,311,285,284
381,311,286,284
382,311,284,284
383,311,284,284
384,309,284,284
385,308,284,284
386,311,284,284
387,311,284,284
388,311,284,284
389,311,286,284
390,311,286,284
391,309,284,284
392,311,284,284
393,311,284,284
394,311,284,284
395,311,284,284
396,311,284,284
397,311,282,284
398,311,286,284
399,311,287,284
400,311,286,284
401,311,284,284
402,311,284,284
403,311,284,284
404,309,281,284
405,308,281,284
406,311,284,284
407,311,287,284
408,311,288,284
409,311,286,284
410,311,284,284
411,309,284,284
412,311,282,284
413,311,281,284
414,311,284,284
415,311,285,284
416,311,288,284
417,311,288,284
418,311,284,284
419,311,282,284
420,311,284,284
421,311,284,284
422,311,284,282
423,311,284,284
424,309,286,284
425,308,288,284
426,311,286,284
427,311,282,284
428,311,282,284
429,311,284,282
430,311,285,284
431,309,284,282
432,311,285,284
433,311,285,285
434,311,285,285
435,311,284,284
436,311,282,282
437,311,282,284
438,311,284,284
439,311,286,284
440,311,285,284
441,311,285,285
442,311,284,284
443,311,284,284
444,309,284,284
445,308,282,282
446,311,282,284
447,311,285,284
448,311,286,284
449,311,284,284
450,311,284,284
451,309,284,284
452,311,284,284
453,311,284,284
454,311,284,284
455,311,284,284
456,311,285,284
457,311,286,284
458,311,284,284
459,311,284,284
460,311,285,284
461,311,284,284
462,311,284,284
463,311,282,282
464,309,282,284
